full_name,title,pages_count,publisher,year,cover,raw_title
Джеймс Клавелл,"Сёгун, 1-6 ч",477,М.: Эрика; Олма-пресс; Крон-пресс,1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1313_compressed.jpg,"Клавелл, Джеймс. - Сёгун, 1-6 ч. - 477+390+398 с. - М.: Эрика; Олма-пресс; Крон-пресс, 1993"
Джеймс Роллинс,"Песчаный дьявол, т.1-2",352,М.: Эскмо,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1156_compressed.jpg,"Роллинс, Джеймс. - Песчаный дьявол, т.1-2. - 352+416 с. - М.: Эскмо, 2013"
Джеймс Роллинс,Черный орден,608,М.: Эскмо,2014,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1157_compressed.jpg,"Роллинс, Джеймс. - Черный орден. - 608 с. - М.: Эскмо, 2014"
Гарриет Бичер-Стоу,Хижина дяди Тома,272,"Мн., ""Маст. лiт."", 1977.",1977,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1008_compressed.jpg,"Бичер-Стоу, Гарриет. - Хижина дяди Тома. - 272 с. - Мн., ""Маст. лiт."", 1977."
Михаил Е Салтыков-Щедрин,Господа Головлевы,384,"Мн., изд-во БГУ",1976,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1009_compressed.jpg,"Салтыков-Щедрин, Михаил Е. - Господа Головлевы. - 384 с. - Мн., изд-во БГУ, 1976"
Дерек Картун,Бесы в Париже; Падение Иерусалима,494,Мн.; Оракул,1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1077_compressed.jpg,"Картун, Дерек. - Бесы в Париже; Падение Иерусалима. - 494 с. - Мн.; Оракул, 1993"
Маргарет Митчелл,"Унесенные ветром, т.1-2",656,"Мн.: ""Белфакс""",1991,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1054_compressed.jpg,"Митчелл, Маргарет. - Унесенные ветром, т.1-2. - 656 с., 640 с. - Мн.: ""Белфакс"", 1991"
У Крэйвен,Кошмар на улице Вязов,432,"Мн.: ""Валев""",1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1047_compressed.jpg,"Крэйвен, У. - Кошмар на улице Вязов. - 432 с. - Мн.: ""Валев"", 1993"
Эрнест Хэмингуэй,Старик и море,80,"Мн.: ""Вышэйшая школа""",1976,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1045_compressed.jpg,"Хэмингуэй, Эрнест. - Старик и море. - 80 с. - Мн.: ""Вышэйшая школа"", 1976"
Александр Дюма,Две Дианы,544,"Мн.: ""Навука i тэхнiка""",1991,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1020_compressed.jpg,"Дюма, Александр. - Две Дианы. - 544 с. - Мн.: ""Навука i тэхнiка"", 1991"
Александр М Волков,Урфин Джюс и его деревянные солдаты,200,"Мн.: ""Нар. асвета""",1973,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1026_compressed.jpg,"Волков, Александр М. - Урфин Джюс и его деревянные солдаты. - 200 с. - Мн.: ""Нар. асвета"", 1973"
Сергей Есенин,Стихотворения и поэмы,224,"Мн.: ""Нар. асвета""",1971,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1046_compressed.jpg,"Есенин, Сергей. - Стихотворения и поэмы. - 224 с. - Мн.: ""Нар. асвета"", 1971"
Умберто Эко,Имя розы,528,"Мн.: ""Сказ""",1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1019_compressed.jpg,"Эко, Умберто. - Имя розы. - 528 с. - Мн.: ""Сказ"", 1993"
Владислав Реймонт,Последний сейм Речи Посполитой,336,Мн.: Беларусь,1994,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1052_compressed.jpg,"Реймонт, Владислав. - Последний сейм Речи Посполитой. - 336 с. - Мн.: Беларусь, 1994"
Федор М Достоевский,Униженные и оскорбленные,350,Мн.: Беларусь,1979,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1102_compressed.jpg,"Достоевский, Федор М. - Униженные и оскорбленные. - 350 с. - Мн.: Беларусь, 1979"
Александр Р Беляев,Прыжок в ничто; Властелин мира,383,Мн.: Беларусь,1982,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1053_compressed.jpg,"Беляев, Александр Р. - Прыжок в ничто; Властелин мира. - 383 с. - Мн.: Беларусь, 1982"
Жорж Санд,"Консуэло, т.1-2",429,Мн.: Беларусь,1989,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1116_compressed.jpg,"Санд, Жорж. - Консуэло, т.1-2. - 429 с., 446 с. - Мн.: Беларусь, 1989"
Василий Г Ян,К последнему морю; Юность полководца,495,Мн.: Беларусь,1982,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1056_compressed.jpg,"Ян, Василий Г. - К последнему морю; Юность полководца. - 495 с. - Мн.: Беларусь, 1982"
Эрих М Ремарк,Тени в раю; Жизнь взаймы,605,Мн.: Беларусь,1989,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1103_compressed.jpg,"Ремарк, Эрих М. - Тени в раю; Жизнь взаймы. - 605 с. - Мн.: Беларусь, 1989"
Эрих М Ремарк,Тени в раю; Жизнь взаймы,605,Мн.: Беларусь,1990,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1055_compressed.jpg,"Ремарк, Эрих М. - Тени в раю; Жизнь взаймы. - 605 с. - Мн.: Беларусь, 1990"
Дейл Карнеги,Как завоевывать друзей и оказывать влияние на людей..,670,Мн.: Беларусь,1990,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1057_compressed.jpg,"Карнеги, Дейл. - Как завоевывать друзей и оказывать влияние на людей... - 670 с. - Мн.: Беларусь, 1990"
Эрик Кестнер,Мальчик из спичечной коробки,253,Мн.: БелЭн,1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1137_compressed.jpg,"Кестнер, Эрик. - Мальчик из спичечной коробки. - 253 с. - Мн.: БелЭн, 1993"
Иван Ефремов,Таис Афинская,493,"Мн.: БКМП ""Крок уперад""",1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1060_compressed.jpg,"Ефремов, Иван. - Таис Афинская. - 493 с. - Мн.: БКМП ""Крок уперад"", 1993"
Чарльз Диккенз,Тайна Эдвина Друда,272,Мн.: Выш. шк.,1985,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1035_compressed.jpg,"Диккенз, Чарльз. - Тайна Эдвина Друда. - 272 с. - Мн.: Выш. шк., 1985"
Мельников Павел И,"На горах, т.1-2",590,Мн.: Выш. шк.,1987,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1114_compressed.jpg,"Мельников Павел И. - На горах, т.1-2. - 590 с., 496 с. - Мн.: Выш. шк., 1987"
Василий Г Ян,Батый,352,Мн.: Выш. школа,1982,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1058_compressed.jpg,"Ян, Василий Г. - Батый. - 352 с. - Мн.: Выш. школа, 1982"
В. и др Воднев,Основные математические формулы,336,Мн.: Выш.школа,1980,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1121_compressed.jpg,"Воднев, В. и др. - Основные математические формулы. - 336 с. - Мн.: Выш.школа, 1980"
Теодор Драйзер,Дженни Герхардт,336,Мн.: Выэйшая школа,1987,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1123_compressed.jpg,"Драйзер, Теодор. - Дженни Герхардт. - 336 с. - Мн.: Выэйшая школа, 1987"
Стендаль,Красное и черное,455,Мн.: Гос. изд-во БССР,1956,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1153_compressed.jpg,"Стендаль. - Красное и черное. - 455 с. - Мн.: Гос. изд-во БССР, 1956"
Мартти Ларни,Прекрасная свинарка; Об этом помалкивают,352,"Мн.: изд-во ""Университетское""",1987,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1031_compressed.jpg,"Ларни, Мартти. - Прекрасная свинарка; Об этом помалкивают. - 352 с. - Мн.: изд-во ""Университетское"", 1987"
Александр Р Беляев,Человек-амфибия; Звезда Кэц,328,Мн.: изд-во мин-ва просвещения БССР,1959,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1040_compressed.jpg,"Беляев, Александр Р. - Человек-амфибия; Звезда Кэц. - 328 с. - Мн.: изд-во мин-ва просвещения БССР, 1959"
Василий Г Ян,Чингиз-Хан,303,Мн.: Маст. лiт.,1982,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1075_compressed.jpg,"Ян, Василий Г. - Чингиз-Хан. - 303 с. - Мн.: Маст. лiт., 1982"
Вальтер Скотт,Айвенго,368,Мн.: Маст. лiт.,1978,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1005_compressed.jpg,"Скотт, Вальтер. - Айвенго. - 368 с. - Мн.: Маст. лiт., 1978"
Морис Дрюон,Железный король; Узница Шато-Гийара,413,Мн.: Маст. лiт.,1981,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1037_compressed.jpg,"Дрюон, Морис. - Железный король; Узница Шато-Гийара. - 413 с. - Мн.: Маст. лiт., 1981"
Майн Рид,Всадник без головы,446,Мн.: Маст. лiт.,1984,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1085_compressed.jpg,"Рид, Майн. - Всадник без головы. - 446 с. - Мн.: Маст. лiт., 1984"
Артур К Дойл,Записки о Шерлоке Холмсе,448,Мн.: Маст. лiт.,1984,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1036_compressed.jpg,"Дойл, Артур К. - Записки о Шерлоке Холмсе. - 448 с. - Мн.: Маст. лiт., 1984"
Теодор Драйзер,Сестра Керри,495,Мн.: Маст. лiт.,1988,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1124_compressed.jpg,"Драйзер, Теодор. - Сестра Керри. - 495 с. - Мн.: Маст. лiт., 1988"
Генрих Сенкевич,Крестоносцы,654,Мн.: Маст. лiт.,1983,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1094_compressed.jpg,"Сенкевич, Генрих. - Крестоносцы. - 654 с. - Мн.: Маст. лiт., 1983"
Вальтер Скотт,"Черный карлик; Пертская красавица, или День святого Валентина",368,Мн.: Мока-имидж,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1130_compressed.jpg,"Скотт, Вальтер. - Черный карлик; Пертская красавица, или День святого Валентина. - 368 с. - Мн.: Мока-имидж, 1992"
Александр Дюма,Королева Марго,574,Мн.: Навука i тэхнiка,1990,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1064_compressed.jpg,"Дюма, Александр. - Королева Марго. - 574 с. - Мн.: Навука i тэхнiка, 1990"
Джек Лондон,Маленькая хозяйка большого дома; Сердца трех,591,Мн.: Навука i тэхнiка,1987,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1063_compressed.jpg,"Лондон, Джек. - Маленькая хозяйка большого дома; Сердца трех. - 591 с. - Мн.: Навука i тэхнiка, 1987"
Марк Твен,Приключения Тома Сойера,224,Мн.: Нар. асвета,1978,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1135_compressed.jpg,"Твен, Марк. - Приключения Тома Сойера. - 224 с. - Мн.: Нар. асвета, 1978"
Астрид Линдгрен,Три повести о Малыше и Карлсоне,320,Мн.: Нар. асвета,1980,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1012_compressed.jpg,"Линдгрен, Астрид. - Три повести о Малыше и Карлсоне. - 320 с. - Мн.: Нар. асвета, 1980"
Чарльз Диккенз,Приключения Оливера Твиста,366,Мн.: Нар. асвета,1980,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1039_compressed.jpg,"Диккенз, Чарльз. - Приключения Оливера Твиста. - 366 с. - Мн.: Нар. асвета, 1980"
Теодор Драйзер,Финансист,534,Мн.: Нар. асвета,1987,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1122_compressed.jpg,"Драйзер, Теодор. - Финансист. - 534 с. - Мн.: Нар. асвета, 1987"
Иван А Гончаров,Обрыв,736,Мн.: Нар. асвета,1985,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1079_compressed.jpg,"Гончаров, Иван А. - Обрыв. - 736 с. - Мн.: Нар. асвета, 1985"
Джек Лондон,Повести и рассказы,319,Мн.: Наука и техника,1982,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1078_compressed.jpg,"Лондон, Джек. - Повести и рассказы. - 319 с. - Мн.: Наука и техника, 1982"
В Чантурия,Архитектурные памятники Белоруссии,223,Мн.: Полымя,1982,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1182_compressed.jpg,"Чантурия, В. - Архитектурные памятники Белоруссии. - 223 с. - Мн.: Полымя, 1982"
Роберт Кийосаки,"Богатый папа, бедный папа",224,Мн.: Попурри,2014,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1163_compressed.jpg,"Кийосаки, Роберт. - Богатый папа, бедный папа. - 224 с. - Мн.: Попурри, 2014"
Генри Форд,"Моя жизнь, мои достижения",352,Мн.: Попурри,2014,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1162_compressed.jpg,"Форд, Генри. - Моя жизнь, мои достижения. - 352 с. - Мн.: Попурри, 2014"
Михаил Булгаков,Сочинения,432,Мн.: Университетское,1988,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1177_compressed.jpg,"Булгаков, Михаил. - Сочинения. - 432 с. - Мн.: Университетское, 1988"
Николай В Гоголь,Вечера на хуторе близ Диканьки,192,Мн.: Юнацтва,1981,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1007_compressed.jpg,"Гоголь, Николай В. - Вечера на хуторе близ Диканьки. - 192 с. - Мн.: Юнацтва, 1981"
Марк Твен,Приключения Тома Сойера,272,Мн.: Юнацтва,1991,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1136_compressed.jpg,"Твен, Марк. - Приключения Тома Сойера. - 272 с. - Мн.: Юнацтва, 1991"
Виталий Губарев,Королевство кривых зеркал,286,Мн.: Юнацтва,1990,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1138_compressed.jpg,"Губарев, Виталий. - Королевство кривых зеркал. - 286 с. - Мн.: Юнацтва, 1990"
Джеймс Ф Купер,"Последний из могикан, или повествование о 1757 годе",288,Мн.: Юнацтва,1983,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1004_compressed.jpg,"Купер, Джеймс Ф. - Последний из могикан, или повествование о 1757 годе. - 288 с. - Мн.: Юнацтва, 1983"
Алексей Толстой,Аэлита; Гиперболоид инженера Гарина,398,Мн.: Юнацтва,1987,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1041_compressed.jpg,"Толстой, Алексей. - Аэлита; Гиперболоид инженера Гарина. - 398 с. - Мн.: Юнацтва, 1987"
Александр Дюма,"Двадцать лет спустя, т.1-2",447,Мн.: Юнацтва,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1134_compressed.jpg,"Дюма, Александр. - Двадцать лет спустя, т.1-2. - 447 с., 431 с. - Мн.: Юнацтва, 1992"
Григорий Адамов,Тайна двух океанов,463,Мн.: Юнацтва,1986,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1051_compressed.jpg,"Адамов, Григорий. - Тайна двух океанов. - 463 с. - Мн.: Юнацтва, 1986"
Рафаэлло Джованьоли,Спартак,655,Мн.: Юнацтва,1988,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1029_compressed.jpg,"Джованьоли, Рафаэлло. - Спартак. - 655 с. - Мн.: Юнацтва, 1988"
Александр Дюма,Три мушкетера,748,Мн.: Юнацтва,1989,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1148_compressed.jpg,"Дюма, Александр. - Три мушкетера. - 748 с. - Мн.: Юнацтва, 1989"
Эдгар Берроуз,Тарзан в золотом городе,169,"Рига, 1991.",1991,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1010_compressed.jpg,"Берроуз, Эдгар. - Тарзан в золотом городе. - 169 с. - Рига, 1991."
Жорж Санд,Графиня Рудольштадт,508,"Симферополь: ""ТАВРИЯ""",1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1092_compressed.jpg,"Санд, Жорж. - Графиня Рудольштадт. - 508 с. - Симферополь: ""ТАВРИЯ"", 1992"
Стивен Кинг,"Лангоньеры; Потаенное окно, потаенный сад; Полицейский из библиотеки; Солнечный пес",828,"СПб.: ""ИМА-пресс-реклама"",1993",1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1062_compressed.jpg,"Кинг, Стивен. - Лангоньеры; Потаенное окно, потаенный сад; Полицейский из библиотеки; Солнечный пес. - 828 с. - СПб.: ""ИМА-пресс-реклама"",1993"
Петров Е Ильф И.,Двенадцать стульев; Золотой теленок,752,"СПб.: ""Кристалл""",2001,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1017_compressed.jpg,"Ильф И., Петров Е. - Двенадцать стульев; Золотой теленок. - 752 с. - СПб.: ""Кристалл"", 2001"
Ги де Мопассан,Милый друг,416,СПб.: Азбука,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1210_compressed.jpg,"Мопассан, Ги де. - Милый друг. - 416 с. - СПб.: Азбука, 2013"
Роберт Л Стивенсон,Приключения принца Флоризеля,448,СПб.: Азбука,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1205_compressed.jpg,"Стивенсон, Роберт Л. - Приключения принца Флоризеля. - 448 с. - СПб.: Азбука, 2013"
Исаак Бабель,Одесские рассказы,448,СПб.: Азбука,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1208_compressed.jpg,"Бабель, Исаак. - Одесские рассказы. - 448 с. - СПб.: Азбука, 2013"
Борис Пастернак,Доктор Живаго,608,СПб.: Азбука,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1206_compressed.jpg,"Пастернак, Борис. - Доктор Живаго. - 608 с. - СПб.: Азбука, 2013"
Уильям Шекспир,Трагедии,672,СПб.: Азбука,2014,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1118_compressed.jpg,"Шекспир, Уильям. - Трагедии. - 672 с. - СПб.: Азбука, 2014"
Ярослав Гашек,Похождения бравого солдата Швейка,704,СПб.: Азбука,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1209_compressed.jpg,"Гашек, Ярослав. - Похождения бравого солдата Швейка. - 704 с. - СПб.: Азбука, 2013"
Виктор Гюго,Отверженные,1248,СПб.: Азбука,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1151_compressed.jpg,"Гюго, Виктор. - Отверженные. - 1248 с. - СПб.: Азбука, 2013"
Джеймс Клавелл,Гайдзин,1231,СПб.: Амфора,2009,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1195_compressed.jpg,"Клавелл, Джеймс. - Гайдзин. - 1231 с. - СПб.: Амфора, 2009"
Джеймс Клавелл,Благородный дом: Роман о Гонконге,1276,СПб.: Амфора,2010,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1194_compressed.jpg,"Клавелл, Джеймс. - Благородный дом: Роман о Гонконге. - 1276 с. - СПб.: Амфора, 2010"
Mario Puzo,The Godfather,384,СПб.: Антология,2012,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1161_compressed.jpg,"Puzo, Mario. - The Godfather. - 384 с. - СПб.: Антология, 2012"
Дэвид Скиена,Алгоритмы: руководство по разработке,720,Спб.: БХВ-Петербург,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1172_compressed.jpg,"Скиена, Дэвид. - Алгоритмы: руководство по разработке. - 720 с. - Спб.: БХВ-Петербург, 2013"
George Orwell,1984,384,СПб.: Каро,2012,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1155_compressed.jpg,"Orwell, George. - 1984. - 384 с. - СПб.: Каро, 2012"
Дуг Пэтт,Как стать архитектором,144,СПб.: Питер,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1160_compressed.jpg,"Пэтт, Дуг. - Как стать архитектором. - 144 с. - СПб.: Питер, 2013"
Джон Ральф; Влиссидес Ричард; Джонсон Эрих; Хелм Гамма,Приемы объектно-ориентированного проектирования,368,СПб.: Питер,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1171_compressed.jpg,"Гамма, Эрих; Хелм, Ричард; Джонсон, Ральф; Влиссидес, Джон. - Приемы объектно-ориентированного проектирования. - 368 с. - СПб.: Питер, 2013"
Майкл Файер,Абсолютный минимум,384,СПб.: Питер,2016,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1166_compressed.jpg,"Файер, Майкл. - Абсолютный минимум. - 384 с. - СПб.: Питер, 2016"
Роберт Мартин,Чистый код,464,СПб.: Питер,2016,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1170_compressed.jpg,"Мартин, Роберт. - Чистый код. - 464 с. - СПб.: Питер, 2016"
Брэм Стокер,Скорбь Сатаны,383,Таллин: GART,1991,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1088_compressed.jpg,"Стокер, Брэм. - Скорбь Сатаны. - 383 с. - Таллин: GART: 1991"
Александра Риплей,Скарлетт,752,Ташкент: полигр. объединение Г. Гуляма,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1080_compressed.jpg,"Риплей, Александра. - Скарлетт. - 752 с. - Ташкент: полигр. объединение Г. Гуляма, 1992"
Владимир Набоков,Лолита,336,Экопрос,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1095_compressed.jpg,"Набоков, Владимир. - Лолита. - 336 с. - Экопрос, 1992"
,Индиана Джонс: романы: Остров (Бенчли П.); Большая земля (Беннет Д.); Неукротимый маршал (Вайтингтон Г.); Индиана Джонс (Кэмпбэлл Б.),0,"СПб.: ""ЛИК""",1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1028_compressed.jpg,"Индиана Джонс: романы: Остров (Бенчли П.); Большая земля (Беннет Д.); Неукротимый маршал (Вайтингтон Г.); Индиана Джонс (Кэмпбэлл Б.). - СПб.: ""ЛИК"", 1993"
,1000 советов по экономии в быту,272,М.: Экономика,1990,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1089_compressed.jpg,"1000 советов по экономии в быту. - 272 с. - М.: Экономика, 1990"
,Мудрость Страны восходящего солнца,304,М.: ОЛМА Медиа Групп,2011,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1212_compressed.jpg,"Мудрость Страны восходящего солнца. - 304 с. - М.: ОЛМА Медиа Групп, 2011"
,Итальянская новелла Возвождения,319,Мн.: Маст. лiт.,1985,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1100_compressed.jpg,"Итальянская новелла Возвождения. - 319 с. - Мн.: Маст. лiт., 1985"
,Тайна одной башни: Повести,350,Мн.: Юнацтва,1988,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1183_compressed.jpg,"Тайна одной башни: Повести. - 350 с. - Мн.: Юнацтва, 1988"
,Челюсти-2: Леопард (Рид В.); Челюсти-2 (Сирлз Х.),352,"М.: ""ИнтерДайджест""",1995,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1022_compressed.jpg,"Челюсти-2: Леопард (Рид В.); Челюсти-2 (Сирлз Х.). - 352 с. - М.: ""ИнтерДайджест"", 1995"
,Челюсти: Челюсти (Бенчли П.); Страх (Хаббард Р.),352,"М.: ""ИнтерДайджест""",1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1023_compressed.jpg,"Челюсти: Челюсти (Бенчли П.); Страх (Хаббард Р.). - 352 с. - М.: ""ИнтерДайджест"", 1993"
,"Шифр ""Х"" (Хмелевска И.); Мститель (Кард, С.)",352,М.: Интердайджест,1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1024_compressed.jpg,"Мститель: Хмелевска И. - Шифр ""Х""; Кард, С. - Мститель. - 352 с. - М.: Интердайджест, 1993"
,Наука и человечество: международный ежегодник,398,"М.: ""Знание""",1978,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1001_compressed.jpg,"Наука и человечество: международный ежегодник. - 398 с. - М.: ""Знание"", 1978"
,Библия в пересказе для детей: Ветхий и Новый завет,437,М.: Рос. библейское общество,1995,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1191_compressed.jpg,"Библия в пересказе для детей: Ветхий и Новый завет. - 437 с. - М.: Рос. библейское общество, 1995"
,Герои и антигерои отечества,447,М.: Информэкспресс,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1127_compressed.jpg,"Герои и антигерои отечества. - 447 с. - М.: Информэкспресс, 1992"
Борис Пастернак,Стихотворения. Поэмы,447,Пермь,1989,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1000_compressed.jpg,"Пастернак, Борис. - Стихотворения. Поэмы. - 447 c. - Пермь, 1989."
,Продается планета: современная зарубежная фантастика,464,"Мн.: изд-во ""Университетское""",1988,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1098_compressed.jpg,"Продается планета: современная зарубежная фантастика. - 464 с. - Мн.: изд-во ""Университетское"", 1988"
,Энциклопедия юного знатока,480,Мн.: Современное слово,1997,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1119_compressed.jpg,"Энциклопедия юного знатока. - 480 с. - Мн.: Современное слово, 1997"
,Влюбленный дьявол,496,"""Мока-имидж""",1997,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1091_compressed.jpg,"Влюбленный дьявол. - 496 с. - ""Мока-имидж"", 1992"
,Тысяча и одна ночь,544,СПб.: Азбука,1997,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1207_compressed.jpg,"Тысяча и одна ночь. - 544 с. - СПб.: Азбука, 2013"
,Полная энциклопедия танков мира. 1915-2000 гг,576,Мн.: Харвест,1999,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1215_compressed.jpg,"Полная энциклопедия танков мира. 1915-2000 гг. - 576 с. - Мн.: Харвест, 1999"
,Новый завет и Псалтирь,641,М.: RICORP,1993,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1108_compressed.jpg,"Новый завет и Псалтирь. - 641 c. - М.: RICORP, 1993"
,Библия: книги Священного писания Ветхого и Нового завета,1337,М.: Рос. библейское общество,2000,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1193_compressed.jpg,"Библия: книги Священного писания Ветхого и Нового завета. - 1337 с. - М.: Рос. библейское общество, 2000"
